Player,Position,League,Age,90s,Players_tackled,Tackles_won,Tackles_def3rd,Tackles_mid3rd,Tackles_att3rd,Dribblers_tackled,Dribblers_challenged,Dribbers_tackled%,Challenges_lost,Number_of_blocks,Shots_blocked,Passes_blocked,Interceptions,Number_of_Players_tackles_and_Int,Clearances,Errors_leading_to_shot,Minutes
Montassar Talbi,0,3,24,38.0,53,25,40,13,0,22,35,62.9,13,55,34,21,40,93,190,3,3420.0
James Tarkowski,0,1,29,38.0,51,26,36,13,2,20,38,52.6,18,99,78,21,51,102,201,3,3420.0
Gabriel Dos Santos,0,1,24,37.9,48,30,29,15,4,18,27,66.7,9,49,26,23,32,80,125,2,3411.0
Fran Garcia,0,2,22,37.9,84,54,53,23,8,55,96,57.3,41,49,8,41,44,128,66,0,3411.0
Birama Touré,6,3,30,37.8,80,47,35,35,10,34,93,36.6,59,54,9,45,67,147,49,0,3401.9999999999995
Harry Kane,3,1,29,37.8,15,12,1,6,8,7,21,33.3,14,27,7,20,2,17,18,0,3401.9999999999995
Alex Iwobi,8,1,26,37.5,69,37,37,28,4,33,65,50.8,32,41,2,39,25,94,29,0,3375.0
James Ward-Prowse,6,1,27,37.5,65,37,31,27,7,21,61,34.4,40,30,10,20,55,120,48,0,3375.0
Kieran Trippier,0,1,31,37.1,71,49,36,27,8,46,90,51.1,44,45,15,30,43,114,84,2,3339.0
Yunis Abdelhamid,0,3,34,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1,3330.0
Axel Disasi,0,3,24,37.0,30,20,13,13,4,13,27,48.1,14,51,31,20,56,86,112,2,3330.0
Federico Baschirotto,0,4,25,37.0,40,30,35,5,0,22,36,61.1,14,45,29,16,36,76,192,0,3330.0
Vincent Le Goff,0,3,32,37.0,75,32,56,16,3,45,62,72.6,17,29,9,20,41,116,105,1,3330.0
Marc Guéhi,0,1,22,37.0,52,27,39,11,2,26,42,61.9,16,45,24,21,45,97,134,3,3330.0
Sergi Darder,6,2,28,36.9,69,38,12,43,14,29,73,39.7,44,34,2,32,24,93,23,0,3321.0
Ezri Konsa,0,1,24,36.9,42,20,25,15,2,18,26,69.2,8,41,23,18,26,68,120,3,3321.0
Anthony Rouault,0,3,21,36.8,66,37,54,10,2,30,58,51.7,28,52,26,26,56,122,126,4,3311.9999999999995
Bruno Fernandes,8,1,27,36.8,68,42,24,25,19,30,71,42.3,41,37,5,32,25,93,40,1,3311.9999999999995
